Fid,Age,Gender,Street,City,Latitude,Longitude,Community,Followers,Retweets,Likes,Unlikes,Label
10.42.0.151-66.198.24.243-37240-80-6,65,Female,9634 King George Boulevard,Surrey,49.177959,-122.845634,Music,261,65,31,17,0
221.228.208.97-10.42.0.211-80-50051-6,58,Female,9634 King George Boulevard,Surrey,49.177959,-122.845634,Sports,149,65,31,17,1
172.217.3.106-10.42.0.211-443-49160-6,45,Female,9634 King George Boulevard,Surrey,49.177959,-122.845634,Politics,226,28,67,81,0
172.217.9.238-10.42.0.151-443-40631-6,70,Female,2739 Lougheed Highway,Coquitlam,49.276955,-122.799465,Business,151,56,95,7,1
183.79.248.252-10.42.0.151-443-57236-6,56,Male,2739 Lougheed Highway,Coquitlam,49.276955,-122.799465,Neighbourhood,307,66,91,17,0
10.42.0.151-52.84.134.158-38846-443-6,70,Female,22051 Fraser Highway,Langley,49.092813,-122.612079,Education,198,60,91,17,0
172.217.6.206-10.42.0.151-443-40695-6,60,Male,22051 Fraser Highway,Langley,49.092813,-122.612079,Sports,139,62,197,17,0
10.42.0.211-23.23.157.167-46218-443-6,54,Female,3935 Kincaid Street,Burnaby,49.248886,-123.015277,Politics,217,16,31,16,0
10.42.0.151-64.71.142.124-36991-443-6,68,Female,6550 Bonsor Avenue,Burnaby,49.224175,-122.997704,Business,380,44,31,17,1
10.42.0.151-54.197.254.190-57475-443-6,53,Female,15105 105 Avenue,Surrey,49.193416,-122.802538,Neighbourhood,50,38,31,17,0
219.142.78.162-10.42.0.151-80-54648-6,59,Male,1379 Laurier Avenue,Port Coquitlam,49.275606,-122.750999,Politics,55,70,55,6,0
10.42.0.211-69.147.82.60-54184-443-6,37,Male,11-32700 George Ferguson Way,Abbotsford,49.055266,-122.318479,Business,222,55,197,10,1
174.35.73.149-10.42.0.151-443-52186-6,65,Female,11-32700 George Ferguson Way,Abbotsford,49.055266,-122.318479,Neighbourhood,137,48,99,13,0
10.42.0.151-123.125.29.138-42811-80-6,44,Male,11-32700 George Ferguson Way,Abbotsford,49.055266,-122.318479,Education,293,0,31,13,1
202.77.129.150-10.42.0.211-80-48418-6,68,Female,45600 Menholm Road,Chilliwack,49.165763,-121.962422,Sports,146,31,197,6,0
